# Iliadis et al. (2001, ApJS 134, 151), Tables 3-9: recommended reaction rates.
# Reformatted from ~/Documents/NuGrid/nuppn/bckup/NovaProject_0.2/references/iliadis2001_table03-09.dat
# (digitized from the paper's PDF tables) into ReacNetJl's per-reaction block format.
reaction: p ne20 -> na21 ; label: 20Ne(p,g)21Na ; table: 3 ; variant: standard
5.0 8.63e6
6.0 1.53e7
7.0 2.42e7
8.0 3.44e7
9.0 4.4e7
10.0 5.07e7
end
reaction: p mg22 -> al23 ; label: 22Mg(p,g)23Al ; table: 4 ; variant: standard
0.01 1.57e-36
0.015 4.69e-31
0.02 1.32e-27
0.03 2.76e-23
0.04 1.45e-20
0.05 1.25e-18
0.06 3.7e-17
0.07 5.52e-16
0.08 5.13e-15
0.09 3.37e-14
0.1 1.7e-13
0.15 5.13e-11
0.2 1.89e-9
0.3 2.08e-7
0.4 4.42e-6
0.5 3.43e-5
0.6 0.000149
0.7 0.000458
0.8 0.00114
0.9 0.00248
1.0 0.00487
1.5 0.0574
2.0 0.308
3.0 2.54
4.0 8.84
5.0 20.4
6.0 37.5
7.0 60.5
8.0 89.7
9.0 125.0
10.0 167.0
end
reaction: p mg23 -> al24 ; label: 23Mg(p,g)24Al ; table: 4 ; variant: standard
0.01 4.95e-35
0.015 1.47e-29
0.02 4.15e-26
0.03 8.67e-22
0.04 4.54e-19
0.05 3.88e-17
0.06 1.14e-15
0.07 1.7e-14
0.08 1.58e-13
0.09 1.03e-12
0.1 5.19e-12
0.15 1.53e-9
0.2 9.45e-8
0.3 0.000233
0.4 0.0152
0.5 0.178
0.6 0.893
0.7 2.76
0.8 6.39
0.9 12.1
1.0 17.1
1.5 51.9
2.0 96.1
3.0 188.0
4.0 277.0
5.0 363.0
6.0 448.0
7.0 538.0
8.0 630.0
9.0 727.0
10.0 828.0
end
reaction: p mg24 -> al25 ; label: 24Mg(p,g)25Al ; table: 4 ; variant: standard
0.02 5.27e-26
0.03 1.14e-21
0.04 6.26e-19
0.05 1.06e-16
0.06 1.51e-13
0.07 4.41e-11
0.08 3.05e-9
0.09 8.04e-8
0.1 1.09e-6
0.15 0.00233
0.2 0.0952
0.3 3.25
0.4 17.0
0.5 43.2
0.6 78.5
0.7 119.0
0.8 161.0
0.9 205.0
1.0 251.0
1.5 514.0
2.0 850.0
3.0 2040.0
4.0 3370.0
5.0 4730.0
6.0 5990.0
7.0 7180.0
8.0 8310.0
9.0 9390.0
10.0 10400.0
end
reaction: p mg25 -> al26 ; label: 25Mg(p,g)26Alg ; table: 4 ; variant: standard
0.01 5.39e-34
0.015 1.05e-24
0.02 4.53e-20
0.03 1.64e-15
0.04 2.79e-13
0.05 6.26e-12
0.06 5.92e-11
0.07 3.59e-10
0.08 1.56e-9
0.09 5.23e-9
0.1 1.44e-8
0.15 5.46e-6
0.2 0.0011
0.3 0.238
0.4 3.51
0.5 18.2
0.6 55.4
0.7 126.0
0.8 233.0
0.9 383.0
1.0 572.0
1.5 2000.0
2.0 3940.0
3.0 7160.0
4.0 10000.0
5.0 13200.0
6.0 16300.0
7.0 19300.0
8.0 21600.0
9.0 22600.0
10.0 23000.0
end
reaction: p mg25 -> al*6 ; label: 25Mg(p,g)26Alm ; table: 4 ; variant: standard
0.01 1.35e-34
0.015 2.42e-25
0.02 1.04e-20
0.03 3.5e-16
0.04 6.41e-14
0.05 1.4e-12
0.06 1.26e-11
0.07 7.27e-11
0.08 3.07e-10
0.09 1.11e-9
0.1 2.96e-9
0.15 1.06e-6
0.2 0.000182
0.3 0.0433
0.4 0.718
0.5 4.11
0.6 13.8
0.7 34.2
0.8 68.6
0.9 120.0
