H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod      804 dzeit  2.93E-07 agej  1.2827E-04
 # t9 =    1.750E-01 rho =    4.528E+01
 # densn  8.14804E+08
 # densp  1.24756E+23
 # densa  3.33546E+24
 # total_energy_flux_[erg/(g*s)]  2.30147E+16
  558    54. 130.   1   3.91309E-10  XE130
  559    54. 131.   1   1.95047E-09  XE131
  560    54. 132.   1   2.37863E-09  XE132
  561    54. 133.   1   2.40151E-13  XE133
  562    54. 134.   1   8.84533E-10  XE134
  563    54. 135.   1   2.44430E-14  XE135
  564    54. 136.   1   7.31405E-10  XE136
  565    54. 137.   1   4.13141E-17  XE137
  566    54. 138.   1   6.67535E-22  XE138
  567    55. 123.   1   1.00000E-99  CS123
  568    55. 124.   1   1.00000E-99  CS124
  569    55. 125.   1   1.00000E-99  CS125
  570    55. 126.   1   1.00000E-99  CS126
  571    55. 127.   1   1.00000E-99  CS127
  572    55. 128.   1   1.00000E-99  CS128
  573    55. 129.   1   1.00000E-99  CS129
  574    55. 130.   1   1.00000E-99  CS130
  575    55. 131.   1   3.86665E-18  CS131
  576    55. 132.   1   3.97076E-22  CS132
  577    55. 133.   1   7.04940E-10  CS133
  578    55. 134.   1   5.63657E-13  CS134
  579    55. 135.   1   2.59976E-15  CS135
  580    55. 136.   1   2.16829E-19  CS136
  581    55. 137.   1   1.68843E-15  CS137
  582    55. 138.   1   8.62318E-21  CS138
  583    55. 139.   1   3.71018E-26  CS139
  584    56. 124.   1   1.00000E-99  BA124
  585    56. 125.   1   1.00000E-99  BA125
  586    56. 126.   1   1.00000E-99  BA126
  587    56. 127.   1   1.00000E-99  BA127
  588    56. 128.   1   1.00000E-99  BA128
  589    56. 129.   1   1.00000E-99  BA129
  590    56. 130.   1   8.96662E-12  BA130
  591    56. 131.   1   9.25626E-15  BA131
  592    56. 132.   1   8.71290E-12  BA132
  593    56. 133.   1   4.79377E-15  BA133
  594    56. 134.   1   2.11313E-10  BA134
  595    56. 135.   1   5.80387E-10  BA135
  596    56. 136.   1   6.97335E-10  BA136
  597    56. 137.   1   1.00416E-09  BA137
  598    56. 138.   1   6.45717E-09  BA138
  599    56. 139.   1   2.74791E-14  BA139
  600    56. 140.   1   1.97119E-18  BA140
  601    56. 141.   1   3.95700E-24  BA141
  602    56. 142.   1   1.00000E-99  BA142
  603    57. 127.   1   1.00000E-99  LA127
  604    57. 128.   1   1.00000E-99  LA128
  605    57. 129.   1   1.00000E-99  LA129
  606    57. 130.   1   1.00000E-99  LA130
  607    57. 131.   1   1.00000E-99  LA131
  608    57. 132.   1   1.00000E-99  LA132
  609    57. 133.   1   1.00000E-99  LA133
  610    57. 134.   1   1.00000E-99  LA134
  611    57. 135.   1   1.00000E-99  LA135
  612    57. 136.   1   1.00000E-99  LA136
  613    57. 137.   1   3.46160E-17  LA137
  614    57. 138.   1   7.93044E-13  LA138
  615    57. 139.   1   8.85630E-10  LA139
  616    57. 140.   1   4.94159E-14  LA140
  617    57. 141.   1   2.11563E-17  LA141
  618    57. 142.   1   3.03046E-21  LA142
  619    57. 143.   1   1.84471E-25  LA143
  620    58. 130.   1   1.00000E-99  CE130
  621    58. 131.   1   1.00000E-99  CE131
  622    58. 132.   1   1.00000E-99  CE132
  623    58. 133.   1   1.00000E-99  CE133
  624    58. 134.   1   1.00000E-99  CE134
  625    58. 135.   1   1.00000E-99  CE135
  626    58. 136.   1   4.14466E-12  CE136
  627    58. 137.   1   1.96217E-15  CE137
  628    58. 138.   1   5.67655E-12  CE138
  629    58. 139.   1   1.49929E-15  CE139
  630    58. 140.   1   2.02983E-09  CE140
  631    58. 141.   1   3.28317E-14  CE141
  632    58. 142.   1   2.58694E-10  CE142
  633    58. 143.   1   1.06431E-14  CE143
  634    58. 144.   1   2.00738E-18  CE144
  635    58. 145.   1   2.52245E-24  CE145
  636    58. 146.   1   3.17053E-26  CE146
  637    59. 133.   1   1.00000E-99  PR133
  638    59. 134.   1   1.00000E-99  PR134
  639    59. 135.   1   1.00000E-99  PR135
  640    59. 136.   1   1.00000E-99  PR136
  641    59. 137.   1   1.00000E-99  PR137
  642    59. 138.   1   1.00000E-99  PR138
  643    59. 139.   1   1.00000E-99  PR139
  644    59. 140.   1   1.00000E-99  PR140
  645    59. 141.   1   3.41798E-10  PR141
  646    59. 142.   1   7.39142E-14  PR142
  647    59. 143.   1   2.62888E-16  PR143
  648    59. 144.   1   1.44361E-20  PR144
  649    59. 145.   1   8.59520E-23  PR145
  650    59. 146.   1   9.23142E-26  PR146
  651    59. 147.   1   1.00000E-99  PR147
  652    59. 148.   1   1.00000E-99  PR148
  653    59. 149.   1   1.00000E-99  PR149
  654    60. 134.   1   1.00000E-99  ND134
  655    60. 135.   1   1.00000E-99  ND135
  656    60. 136.   1   1.00000E-99  ND136
  657    60. 137.   1   1.00000E-99  ND137
  658    60. 138.   1   1.00000E-99  ND138
  659    60. 139.   1   1.00000E-99  ND139
  660    60. 140.   1   1.00000E-99  ND140
  661    60. 141.   1   3.60887E-21  ND141
  662    60. 142.   1   4.90727E-10  ND142
  663    60. 143.   1   2.21735E-10  ND143
  664    60. 144.   1   4.36697E-10  ND144
  665    60. 145.   1   1.53077E-10  ND145
  666    60. 146.   1   3.19065E-10  ND146
  667    60. 147.   1   4.01017E-14  ND147
  668    60. 148.   1   1.08073E-10  ND148
  669    60. 149.   1   1.68540E-14  ND149
  670    60. 150.   1   1.07235E-10  ND150
  671    60. 151.   1   2.73213E-15  ND151
  672    60. 152.   1   3.21113E-19  ND152
  673    61. 137.   1   1.00000E-99  PM137
  674    61. 138.   1   1.00000E-99  PM138
  675    61. 139.   1   1.00000E-99  PM139
  676    61. 140.   1   1.00000E-99  PM140
  677    61. 141.   1   1.00000E-99  PM141
  678    61. 142.   1   1.00000E-99  PM142
  679    61. 143.   1   1.00000E-99  PM143
  680    61. 144.   1   1.00000E-99  PM144
  681    61. 145.   1   4.52056E-20  PM145
  682    61. 146.   1   8.77455E-24  PM146
  683    61. 147.   1   1.33925E-16  PM147
  684    61. 148.   1   1.12754E-19  PM148
  685    61. 149.   1   8.16522E-15  PM149
  686    61. 150.   1   3.29188E-18  PM150
  687    61. 151.   1   3.01167E-14  PM151
  688    61. 152.   1   4.86114E-18  PM152
  689    61. 153.   1   4.57042E-22  PM153
  690    61. 154.   1   8.44505E-27  PM154
  691    62. 140.   1   1.00000E-99  SM140
  692    62. 141.   1   1.00000E-99  SM141
  693    62. 142.   1   1.00000E-99  SM142
  694    62. 143.   1   1.00000E-99  SM143
  695    62. 144.   1   1.82209E-11  SM144
  696    62. 145.   1   2.40837E-15  SM145
  697    62. 146.   1   3.65447E-18  SM146
  698    62. 147.   1   9.05967E-11  SM147
  699    62. 148.   1   6.86336E-11  SM148
  700    62. 149.   1   8.45084E-11  SM149
  701    62. 150.   1   4.58508E-11  SM150
  702    62. 151.   1   3.04507E-14  SM151
  703    62. 152.   1   1.67250E-10  SM152
  704    62. 153.   1   1.20764E-13  SM153
  705    62. 154.   1   1.44225E-10  SM154
  706    62. 155.   1   9.45043E-15  SM155
  707    62. 156.   1   2.09705E-17  SM156
  708    62. 157.   1   2.04945E-22  SM157
  709    62. 158.   1   1.02727E-26  SM158
  710    63. 143.   1   1.00000E-99  EU143
  711    63. 144.   1   1.00000E-99  EU144
  712    63. 145.   1   1.00000E-99  EU145
  713    63. 146.   1   1.00000E-99  EU146
  714    63. 147.   1   1.00000E-99  EU147
  715    63. 148.   1   1.00000E-99  EU148
  716    63. 149.   1   1.00000E-99  EU149
  717    63. 150.   1   1.00000E-99  EU150
  718    63. 151.   1   9.99650E-11  EU151
  719    63. 152.   1   7.31774E-13  EU152
  720    63. 153.   1   1.10953E-10  EU153
  721    63. 154.   1   4.63568E-13  EU154
  722    63. 155.   1   4.20558E-14  EU155
  723    63. 156.   1   1.11233E-17  EU156
  724    63. 157.   1   1.30680E-20  EU157
  725    63. 158.   1   4.94746E-24  EU158
  726    63. 159.   1   5.64961E-27  EU159
  727    64. 144.   1   1.00000E-99  GD144
  728    64. 145.   1   1.00000E-99  GD145
  729    64. 146.   1   1.00000E-99  GD146
  730    64. 147.   1   1.00000E-99  GD147
  731    64. 148.   1   1.00000E-99  GD148
  732    64. 149.   1   1.00000E-99  GD149
  733    64. 150.   1   1.00000E-99  GD150
  734    64. 151.   1   1.00000E-99  GD151
  735    64. 152.   1   1.48134E-12  GD152
  736    64. 153.   1   2.51504E-15  GD153
  737    64. 154.   1   1.58573E-11  GD154
  738    64. 155.   1   1.08014E-10  GD155
  739    64. 156.   1   1.51264E-10  GD156
  740    64. 157.   1   1.16040E-10  GD157
  741    64. 158.   1   1.85695E-10  GD158
  742    64. 159.   1   9.08895E-14  GD159
  743    64. 160.   1   1.65335E-10  GD160
  744    64. 161.   1   1.39025E-15  GD161
  745    64. 162.   1   1.50886E-19  GD162
  746    65. 147.   1   1.00000E-99  TB147
  747    65. 148.   1   1.00000E-99  TB148
  748    65. 149.   1   1.00000E-99  TB149
  749    65. 150.   1   1.00000E-99  TB150
  750    65. 151.   1   1.00000E-99  TB151
  751    65. 152.   1   1.00000E-99  TB152
  752    65. 153.   1   1.00000E-99  TB153
  753    65. 154.   1   1.00000E-99  TB154
  754    65. 155.   1   1.00000E-99  TB155
  755    65. 156.   1   1.00000E-99  TB156
  756    65. 157.   1   4.62499E-17  TB157
  757    65. 158.   1   1.56505E-20  TB158
  758    65. 159.   1   1.36446E-10  TB159
  759    65. 160.   1   3.40776E-13  TB160
  760    65. 161.   1   4.59763E-14  TB161
  761    65. 162.   1   3.85236E-18  TB162
  762    65. 163.   1   7.97014E-22  TB163
  763    65. 164.   1   1.56216E-26  TB164
  764    65. 165.   1   1.00000E-99  TB165
  765    66. 148.   1   1.00000E-99  DY148
  766    66. 149.   1   1.00000E-99  DY149
  767    66. 150.   1   1.00000E-99  DY150
  768    66. 151.   1   1.00000E-99  DY151
  769    66. 152.   1   1.00000E-99  DY152
  770    66. 153.   1   1.00000E-99  DY153
  771    66. 154.   1   1.00000E-99  DY154
  772    66. 155.   1   1.00000E-99  DY155
  773    66. 156.   1   4.95332E-13  DY156
  774    66. 157.   1   1.18548E-15  DY157
  775    66. 158.   1   8.60658E-13  DY158
  776    66. 159.   1   1.48318E-15  DY159
  777    66. 160.   1   2.12556E-11  DY160
  778    66. 161.   1   1.72503E-10  DY161
  779    66. 162.   1   2.35310E-10  DY162
  780    66. 163.   1   2.30314E-10  DY163
  781    66. 164.   1   2.63107E-10  DY164
  782    66. 165.   1   6.81505E-14  DY165
  783    66. 166.   1   5.64063E-17  DY166
  784    66. 167.   1   4.56313E-22  DY167
  785    66. 168.   1   2.67395E-26  DY168
  786    67. 153.   1   1.00000E-99  HO153
  787    67. 154.   1   1.00000E-99  HO154
  788    67. 155.   1   1.00000E-99  HO155
  789    67. 156.   1   1.00000E-99  HO156
  790    67. 157.   1   1.00000E-99  HO157
  791    67. 158.   1   1.00000E-99  HO158
  792    67. 159.   1   1.00000E-99  HO159
  793    67. 160.   1   1.00000E-99  HO160
  794    67. 161.   1   1.00000E-99  HO161
  795    67. 162.   1   1.00000E-99  HO162
  796    67. 163.   1   1.17582E-13  HO163
  797    67. 164.   1   3.01601E-17  HO164
  798    67. 165.   1   2.09568E-10  HO165
  799    67. 166.   1   4.10601E-13  HO166
  800    67. 167.   1   1.06527E-15  HO167
  801    67. 168.   1   3.29490E-20  HO168
  802    67. 169.   1   1.75634E-24  HO169
  803    68. 154.   1   1.00000E-99  ER154
  804    68. 155.   1   1.00000E-99  ER155
  805    68. 156.   1   1.00000E-99  ER156
  806    68. 157.   1   1.00000E-99  ER157
  807    68. 158.   1   1.00000E-99  ER158
  808    68. 159.   1   1.00000E-99  ER159
  809    68. 160.   1   1.00000E-99  ER160
  810    68. 161.   1   1.00000E-99  ER161
  811    68. 162.   1   7.94025E-13  ER162
  812    68. 163.   1   1.61077E-15  ER163
  813    68. 164.   1   9.44736E-12  ER164
  814    68. 165.   1   1.57604E-14  ER165
  815    68. 166.   1   1.99928E-10  ER166
  816    68. 167.   1   1.37159E-10  ER167
  817    68. 168.   1   1.61666E-10  ER168
  818    68. 169.   1   8.08748E-14  ER169
  819    68. 170.   1   9.09939E-11  ER170
  820    68. 171.   1   2.71651E-14  ER171
  821    68. 172.   1   1.22239E-17  ER172
  822    68. 173.   1   9.80975E-23  ER173
  823    68. 174.   1   5.22509E-27  ER174
  824    68. 175.   1   1.00000E-99  ER175
  825    69. 159.   1   1.00000E-99  TM159
  826    69. 160.   1   1.00000E-99  TM160
  827    69. 161.   1   1.00000E-99  TM161
  828    69. 162.   1   1.00000E-99  TM162
  829    69. 163.   1   1.00000E-99  TM163
  830    69. 164.   1   1.00000E-99  TM164
  831    69. 165.   1   1.00000E-99  TM165
  832    69. 166.   1   1.00000E-99  TM166
  833    69. 167.   1   1.00000E-99  TM167
  834    69. 168.   1   1.00000E-99  TM168
  835    69. 169.   1   9.15004E-11  TM169
  836    69. 170.   1   2.35115E-13  TM170
  837    69. 171.   1   3.24056E-15  TM171
  838    69. 172.   1   9.27076E-19  TM172
  839    69. 173.   1   1.61936E-21  TM173
  840    69. 174.   1   5.00710E-26  TM174
  841    69. 175.   1   1.00000E-99  TM175
  842    69. 176.   1   1.00000E-99  TM176
  843    70. 160.   1   1.00000E-99  YB160
  844    70. 161.   1   1.00000E-99  YB161
  845    70. 162.   1   1.00000E-99  YB162
  846    70. 163.   1   1.00000E-99  YB163
  847    70. 164.   1   1.00000E-99  YB164
  848    70. 165.   1   1.00000E-99  YB165
  849    70. 166.   1   1.00000E-99  YB166
  850    70. 167.   1   1.00000E-99  YB167
  851    70. 168.   1   7.81872E-13  YB168
  852    70. 169.   1   1.37785E-15  YB169
  853    70. 170.   1   1.85132E-11  YB170
  854    70. 171.   1   8.74318E-11  YB171
  855    70. 172.   1   1.34751E-10  YB172
  856    70. 173.   1   1.00019E-10  YB173
  857    70. 174.   1   1.98704E-10  YB174
  858    70. 175.   1   4.50585E-14  YB175
  859    70. 176.   1   8.05249E-11  YB176
  860    70. 177.   1   9.89691E-15  YB177
  861    70. 178.   1   3.19023E-18  YB178
  862    70. 179.   1   1.40264E-23  YB179
  863    70. 180.   1   1.00000E-99  YB180
  864    71. 165.   1   1.00000E-99  LU165
  865    71. 166.   1   1.00000E-99  LU166
  866    71. 167.   1   1.00000E-99  LU167
  867    71. 168.   1   1.00000E-99  LU168
  868    71. 169.   1   1.00000E-99  LU169
  869    71. 170.   1   1.00000E-99  LU170
  870    71. 171.   1   1.00000E-99  LU171
  871    71. 172.   1   1.00000E-99  LU172
  872    71. 173.   1   1.00000E-99  LU173
  873    71. 174.   1   1.00000E-99  LU174
  874    71. 175.   1   9.02544E-11  LU175
  875    71. 176.   1   2.58309E-12  LU176
  876    71. 177.   1   1.14174E-14  LU177
  877    71. 178.   1   3.44716E-18  LU178
  878    71. 179.   1   4.05990E-21  LU179
  879    71. 180.   1   1.69871E-25  LU180
  880    71. 181.   1   1.00000E-99  LU181
  881    71. 182.   1   1.00000E-99  LU182
  882    72. 166.   1   1.00000E-99  HF166
  883    72. 167.   1   1.00000E-99  HF167
  884    72. 168.   1   1.00000E-99  HF168
  885    72. 169.   1   1.00000E-99  HF169
  886    72. 170.   1   1.00000E-99  HF170
  887    72. 171.   1   1.00000E-99  HF171
  888    72. 172.   1   1.00000E-99  HF172
  889    72. 173.   1   1.00000E-99  HF173
  890    72. 174.   1   6.08327E-13  HF174
  891    72. 175.   1   8.05140E-16  HF175
  892    72. 176.   1   1.99494E-11  HF176
  893    72. 177.   1   7.09805E-11  HF177
  894    72. 178.   1   1.05071E-10  HF178
  895    72. 179.   1   5.26653E-11  HF179
  896    72. 180.   1   1.36514E-10  HF180
  897    72. 181.   1   2.95564E-14  HF181
  898    72. 182.   1   8.57307E-18  HF182
  899    72. 183.   1   7.93848E-22  HF183
  900    72. 184.   1   2.23814E-25  HF184
  901    72. 185.   1   1.00000E-99  HF185
  902    73. 169.   1   1.00000E-99  TA169
  903    73. 170.   1   1.00000E-99  TA170
  904    73. 171.   1   1.00000E-99  TA171
  905    73. 172.   1   1.00000E-99  TA172
  906    73. 173.   1   1.00000E-99  TA173
  907    73. 174.   1   1.00000E-99  TA174
  908    73. 175.   1   1.00000E-99  TA175
  909    73. 176.   1   1.00000E-99  TA176
  910    73. 177.   1   1.00000E-99  TA177
  911    73. 178.   1   1.00000E-99  TA178
  912    73. 179.   1   4.26878E-18  TA179
  913    73. 180.   1   1.14949E-14  TA180
  914    73. 181.   1   9.80918E-11  TA181
  915    73. 182.   1   1.44884E-13  TA182
  916    73. 183.   1   1.83851E-16  TA183
  917    73. 184.   1   1.32470E-19  TA184
  918    73. 185.   1   9.55094E-23  TA185
  919    73. 186.   1   2.23886E-26  TA186
  920    74. 172.   1   1.00000E-99  W 172
  921    74. 173.   1   1.00000E-99  W 173
  922    74. 174.   1   1.00000E-99  W 174
  923    74. 175.   1   1.00000E-99  W 175
  924    74. 176.   1   1.00000E-99  W 176
  925    74. 177.   1   1.00000E-99  W 177
  926    74. 178.   1   1.00000E-99  W 178
  927    74. 179.   1   1.00000E-99  W 179
  928    74. 180.   1   4.15064E-13  W 180
  929    74. 181.   1   4.20990E-16  W 181
  930    74. 182.   1   9.28474E-11  W 182
  931    74. 183.   1   5.04391E-11  W 183
  932    74. 184.   1   1.08595E-10  W 184
  933    74. 185.   1   3.93872E-14  W 185
  934    74. 186.   1   1.01796E-10  W 186
  935    74. 187.   1   3.25195E-14  W 187
  936    74. 188.   1   1.41398E-17  W 188
  937    74. 189.   1   8.42800E-23  W 189
  938    74. 190.   1   1.06449E-25  W 190
  939    75. 175.   1   1.00000E-99  RE175
  940    75. 176.   1   1.00000E-99  RE176
  941    75. 177.   1   1.00000E-99  RE177
  942    75. 178.   1   1.00000E-99  RE178
  943    75. 179.   1   1.00000E-99  RE179
  944    75. 180.   1   1.00000E-99  RE180
  945    75. 181.   1   1.00000E-99  RE181
  946    75. 182.   1   1.00000E-99  RE182
  947    75. 183.   1   1.00000E-99  RE183
  948    75. 184.   1   1.00000E-99  RE184
  949    75. 185.   1   5.17406E-11  RE185
  950    75. 186.   1   9.89397E-14  RE186
  951    75. 187.   1   8.75573E-11  RE187
  952    75. 188.   1   1.52872E-13  RE188
  953    75. 189.   1   2.52844E-16  RE189
  954    75. 190.   1   1.31934E-19  RE190
  955    75. 191.   1   1.26559E-23  RE191
  956    76. 179.   1   1.00000E-99  OS179
  957    76. 180.   1   1.00000E-99  OS180
  958    76. 181.   1   1.00000E-99  OS181
  959    76. 182.   1   1.00000E-99  OS182
  960    76. 183.   1   1.00000E-99  OS183
  961    76. 184.   1   3.51354E-13  OS184
  962    76. 185.   1   3.11609E-16  OS185
  963    76. 186.   1   2.85698E-11  OS186
  964    76. 187.   1   2.96319E-11  OS187
  965    76. 188.   1   2.41078E-10  OS188
  966    76. 189.   1   2.94949E-10  OS189
  967    76. 190.   1   4.83639E-10  OS190
  968    76. 191.   1   1.87155E-13  OS191
  969    76. 192.   1   7.58087E-10  OS192
  970    76. 193.   1   1.73723E-13  OS193
  971    76. 194.   1   6.32785E-17  OS194
  972    76. 195.   1   2.63608E-22  OS195
  973    76. 196.   1   3.27680E-25  OS196
  974    77. 181.   1   1.00000E-99  IR181
  975    77. 182.   1   1.00000E-99  IR182
  976    77. 183.   1   1.00000E-99  IR183
  977    77. 184.   1   1.00000E-99  IR184
  978    77. 185.   1   1.00000E-99  IR185
  979    77. 186.   1   1.00000E-99  IR186
  980    77. 187.   1   1.00000E-99  IR187
  981    77. 188.   1   1.00000E-99  IR188
  982    77. 189.   1   1.00000E-99  IR189
  983    77. 190.   1   1.00000E-99  IR190
  984    77. 191.   1   6.69874E-10  IR191
  985    77. 192.   1   1.65551E-12  IR192
  986    77. 193.   1   1.14003E-09  IR193
  987    77. 194.   1   1.89198E-12  IR194
  988    77. 195.   1   1.41049E-15  IR195
  989    77. 196.   1   5.27684E-19  IR196
  990    77. 197.   1   8.88534E-23  IR197
  991    78. 184.   1   1.00000E-99  PT184
  992    78. 185.   1   1.00000E-99  PT185
  993    78. 186.   1   1.00000E-99  PT186
  994    78. 187.   1   1.00000E-99  PT187
  995    78. 188.   1   1.00000E-99  PT188
  996    78. 189.   1   1.00000E-99  PT189
  997    78. 190.   1   4.98542E-13  PT190
  998    78. 191.   1   3.67412E-16  PT191
  999    78. 192.   1   2.89189E-11  PT192
 1000    78. 193.   1   2.39528E-14  PT193
 1001    78. 194.   1   1.23122E-09  PT194
 1002    78. 195.   1   1.26960E-09  PT195
 1003    78. 196.   1   9.54198E-10  PT196
 1004    78. 197.   1   2.51522E-13  PT197
 1005    78. 198.   1   2.73130E-10  PT198
 1006    78. 199.   1   1.18391E-14  PT199
 1007    78. 200.   1   8.46163E-18  PT200
 1008    78. 201.   1   4.58536E-24  PT201
 1009    78. 202.   1   1.25151E-26  PT202
 1010    79. 185.   1   1.00000E-99  AU185
 1011    79. 186.   1   1.00000E-99  AU186
 1012    79. 187.   1   1.00000E-99  AU187
 1013    79. 188.   1   1.00000E-99  AU188
 1014    79. 189.   1   1.00000E-99  AU189
 1015    79. 190.   1   1.00000E-99  AU190
 1016    79. 191.   1   1.00000E-99  AU191
 1017    79. 192.   1   1.00000E-99  AU192
 1018    79. 193.   1   1.00000E-99  AU193
 1019    79. 194.   1   1.00000E-99  AU194
 1020    79. 195.   1   2.41243E-19  AU195
 1021    79. 196.   1   3.80395E-23  AU196
 1022    79. 197.   1   5.35373E-10  AU197
 1023    79. 198.   1   5.61199E-13  AU198
 1024    79. 199.   1   3.02308E-14  AU199
 1025    79. 200.   1   1.72575E-18  AU200
 1026    79. 201.   1   8.91695E-23  AU201
 1027    79. 202.   1   1.00000E-99  AU202
 1028    79. 203.   1   1.00000E-99  AU203
 1029    80. 189.   1   1.00000E-99  HG189
 1030    80. 190.   1   1.00000E-99  HG190
 1031    80. 191.   1   1.00000E-99  HG191
 1032    80. 192.   1   1.00000E-99  HG192
 1033    80. 193.   1   1.00000E-99  HG193
 1034    80. 194.   1   1.00000E-99  HG194
 1035    80. 195.   1   1.00000E-99  HG195
 1036    80. 196.   1   1.48834E-12  HG196
 1037    80. 197.   1   4.69848E-16  HG197
 1038    80. 198.   1   9.76900E-11  HG198
 1039    80. 199.   1   1.66139E-10  HG199
 1040    80. 200.   1   2.28745E-10  HG200
 1041    80. 201.   1   1.31137E-10  HG201
 1042    80. 202.   1   2.98660E-10  HG202
 1043    80. 203.   1   2.63881E-14  HG203
 1044    80. 204.   1   6.93250E-11  HG204
 1045    80. 205.   1   1.77185E-16  HG205
 1046    80. 206.   1   4.88092E-22  HG206
 1047    80. 207.   1   1.30534E-27  HG207
 1048    80. 208.   1   1.00000E-99  HG208
 1049    81. 192.   1   1.00000E-99  TL192
 1050    81. 193.   1   1.00000E-99  TL193
 1051    81. 194.   1   1.00000E-99  TL194
 1052    81. 195.   1   1.00000E-99  TL195
 1053    81. 196.   1   1.00000E-99  TL196
 1054    81. 197.   1   1.00000E-99  TL197
 1055    81. 198.   1   1.00000E-99  TL198
 1056    81. 199.   1   1.00000E-99  TL199
 1057    81. 200.   1   1.00000E-99  TL200
 1058    81. 201.   1   1.00000E-99  TL201
 1059    81. 202.   1   1.00000E-99  TL202
 1060    81. 203.   1   1.59298E-10  TL203
 1061    81. 204.   1   4.05015E-14  TL204
 1062    81. 205.   1   3.84042E-10  TL205
 1063    81. 206.   1   1.08004E-15  TL206
 1064    81. 207.   1   2.96521E-21  TL207
 1065    81. 208.   1   6.23819E-27  TL208
 1066    81. 209.   1   1.00000E-99  TL209
 1067    81. 210.   1   1.00000E-99  TL210
 1068    82. 193.   1   1.00000E-99  PB193
 1069    82. 194.   1   1.00000E-99  PB194
 1070    82. 195.   1   1.00000E-99  PB195
 1071    82. 196.   1   1.00000E-99  PB196
 1072    82. 197.   1   1.00000E-99  PB197
 1073    82. 198.   1   1.00000E-99  PB198
 1074    82. 199.   1   1.00000E-99  PB199
 1075    82. 200.   1   1.00000E-99  PB200
 1076    82. 201.   1   1.00000E-99  PB201
 1077    82. 202.   1   1.00000E-99  PB202
 1078    82. 203.   1   1.00000E-99  PB203
 1079    82. 204.   1   1.44982E-10  PB204
 1080    82. 205.   1   5.19706E-14  PB205
 1081    82. 208.   1   4.37820E-09  PB208
 1082    82. 209.   1   3.41753E-16  PB209
 1083    82. 210.   1   1.80429E-21  PB210
 1084    82. 211.   1   1.00000E-99  PB211
 1085    83. 202.   1   1.00000E-99  BI202
 1086    83. 203.   1   1.00000E-99  BI203
 1087    83. 204.   1   1.00000E-99  BI204
 1088    83. 205.   1   1.00000E-99  BI205
 1089    83. 206.   1   1.00000E-99  BI206
 1090    83. 207.   1   1.00000E-99  BI207
 1091    83. 208.   1   1.00000E-99  BI208
 1092    83. 209.   1   4.31309E-10  BI209
 1093    83. 210.   1   2.63037E-15  BI210
